name,slug,orgId,role,primary,secondary,tertiary,quaternary,tertiary_approx,logo
Peel Cricket Association,peel-cricket-association-inc,c8b4654f,Association,#93182C,#65B6C5,#D82225,,,https://res.cloudinary.com/playhq/image/upload/v1/production/ca/c8b4654f-7682-4c36-b8fb-6df00212a6d4/1685337770470/logo.jpg
Halls Head Cricket Club,halls-head-cricket-club,5fe82f6b,Member,#333F48,#FBAC27,#42342B,#FFFFFF,,https://res.cloudinary.com/playhq/image/upload/v1/production/ca/5fe82f6b-ee78-4232-9910-f5343547c1c3/1687781014605/logo.png
White Knights Baldivis Cricket Club,white-knights-baldivis-cricket-club,ce4b755c,Member,#080862,#FFFFFF,#C9A24B,,yes,https://res.cloudinary.com/playhq/image/upload/v1/production/ca/ce4b755c-9f9a-4e2d-a704-9410e401f32c/1728475140615/logo.jpg
Waroona Cricket Club,waroona-cricket-club,beff7c93,Member,#020202,#FFFFFF,#272727,,,https://res.cloudinary.com/playhq/image/upload/v1/production/ca/beff7c93-60a7-4364-8a4f-dd450a99a3c7/1689172392105/logo.jpg
Shoalwater Bay Cricket Club,shoalwater-bay-cricket-club,004d3d9f,Member,#680100,#FCD803,#FFFFFF,,yes,https://res.cloudinary.com/playhq/image/upload/v1/production/ca/004d3d9f-b518-4843-bbd2-78392844073e/1687068606779/logo.png
Mandurah Cricket Club,mandurah-cricket-club,84fe5d06,Member,#162850,#FFFFFF,#384666,,yes,https://res.cloudinary.com/playhq/image/upload/v1/production/ca/84fe5d06-5eeb-4fe5-85d1-bf3fd59956aa/1689819925822/logo.png
Warnbro Swans Cricket Club,warnbro-swans-cricket-club,a34f889b,Member,#020202,#FEF203,#FFFFFF,,,https://res.cloudinary.com/playhq/image/upload/v1/production/ca/a34f889b-0ee6-407d-ad6a-ff867a1c8b30/1686818756568/logo.jpg
Pinjarra Cricket Club,pinjarra-cricket-club,005087b1,Member,#FFCE2F,#000000,#FFFFFF,,yes,https://res.cloudinary.com/playhq/image/upload/v1/production/ca/005087b1-3ecb-4e33-8635-f731a54c6a7e/1686889595900/logo.png
Singleton Irwinians Cricket Club,singleton-irwinians-cricket-club,310ffe54,Member,#030206,#F86B06,#FFFFFF,,,https://res.cloudinary.com/playhq/image/upload/v1/production/ca/310ffe54-bd81-4b03-8a15-f7b3e1f97ec3/1757554635167/logo.jpg
Rockingham Hornets Cricket Club,rockingham-hornets-cricket-club,218c4b17,Member,#014602,#E8B402,#FFFFFF,,,https://res.cloudinary.com/playhq/image/upload/v1/production/ca/218c4b17-6214-4d97-bf9c-3dffe60c2202/1686818105336/logo.jpg
Secret Harbour Dockers Cricket Club,secret-harbour-dockers-cricket-club,47bee109,Member,#271E54,#493775,#764D9A,,,https://res.cloudinary.com/playhq/image/upload/v1/production/ca/47bee109-8aa0-41d1-adb3-f7c835216bab/1728693382613/logo.jpg
South Mandurah Cricket Club,south-mandurah-cricket-club,b9d1dea7,Member,#FBC211,#1714D6,#FFFFFF,,yes,https://res.cloudinary.com/playhq/image/upload/v1/production/ca/b9d1dea7-ea47-4c49-b7a5-0e87141d9644/1687664961809/logo.jpg
Murdoch University Melville Cricket Club,murdoch-university-melville-cricket-club,9b047d52,Colts only,#2A2466,#953336,#9A9A9A,,,https://res.cloudinary.com/playhq/image/upload/v1/production/ca/9b047d52-35ab-4042-9265-17496a7ce212/1730419356851/logo.jpg
SJ Blues Cricket Club,sj-blues-cricket-club,1051340b,Visiting (Female A 2025/26),#E4312A,#FFFFFF,#1B1F4B,,yes,https://res.cloudinary.com/playhq/image/upload/v1/production/ca/1051340b-60fb-41d5-9e28-c04a2506beef/1687875426276/logo.jpg
Rockingham Mandurah Cricket Club (Mariners RMDCC),rockingham-mandurah-cricket-club,c781d962,Visiting (PPL T20 2024/25),#882435,#73C9E0,#E2231A,,,https://res.cloudinary.com/playhq/image/upload/v1/production/ca/c781d962-3078-4662-9ba7-e053d900c750/1690445947031/logo.jpg
Harvey Benger Cricket Club,harvey-benger-cricket-club-inc,769cd605,Visiting (PPL T20 2024/25),#005502,#020202,#800001,,,https://res.cloudinary.com/playhq/image/upload/v1/production/ca/769cd605-252b-4cf8-865c-f4b37cabe5c5/1688090649001/logo.png
Curtin Victoria Park Cricket Club,curtin-victoria-park-cricket-club,32a36d4f,Visiting (PPL T20 2023/24),#231F20,#D0A44B,#ED1B24,,,https://res.cloudinary.com/playhq/image/upload/v1/production/ca/32a36d4f-ab15-414d-9bcc-66f23e21f0ec/1759712248765/logo.jpg
